id,date,parsed_on,updated_at
189,2020-08-02,2020-08-03 13:00:06.3960000 +00:00,2020-08-03 13:00:06.3960000 +00:00
190,2020-08-01,2020-08-03 13:00:06.3960000 +00:00,2020-08-03 13:00:06.3960000 +00:00
191,2020-08-04,2020-08-04 13:00:04.3140000 +00:00,2020-08-04 13:00:04.3140000 +00:00
192,2020-08-05,2020-08-05 13:00:02.5350000 +00:00,2020-08-05 13:00:02.5350000 +00:00
193,2020-08-06,2020-08-06 13:00:17.7680000 +00:00,2020-08-06 13:00:17.7680000 +00:00
194,2020-08-07,2020-08-07 13:00:06.9410000 +00:00,2020-08-07 13:00:06.9410000 +00:00
195,2020-08-10,2020-08-10 13:00:06.3680000 +00:00,2020-08-10 13:00:06.3680000 +00:00
196,2020-08-09,2020-08-10 13:00:06.3720000 +00:00,2020-08-10 13:00:06.3720000 +00:00
197,2020-08-08,2020-08-10 13:00:06.3730000 +00:00,2020-08-10 13:00:06.3730000 +00:00
198,2020-08-11,2020-08-11 13:00:03.3670000 +00:00,2020-08-11 13:00:03.3670000 +00:00
199,2020-08-12,2020-08-12 11:00:02.6390000 +00:00,2020-08-12 11:00:02.6390000 +00:00
200,2020-08-13,2020-08-13 11:00:02.5370000 +00:00,2020-08-13 11:00:02.5370000 +00:00
201,2020-08-14,2020-08-14 12:00:06.0660000 +00:00,2020-08-14 12:00:06.0660000 +00:00
202,2020-08-17,2020-08-17 14:00:06.0830000 +00:00,2020-08-17 14:00:06.0830000 +00:00
203,2020-08-16,2020-08-17 14:00:06.0850000 +00:00,2020-08-17 14:00:06.0850000 +00:00
204,2020-08-15,2020-08-17 14:00:06.0850000 +00:00,2020-08-17 14:00:06.0850000 +00:00
205,2020-08-28,2020-08-28 17:11:51.1340000 +00:00,2020-08-28 17:11:51.1340000 +00:00
206,2020-08-27,2020-08-28 17:11:51.1340000 +00:00,2020-08-28 17:11:51.1340000 +00:00
207,2020-08-26,2020-08-28 17:11:51.1350000 +00:00,2020-08-28 17:11:51.1350000 +00:00
208,2020-08-25,2020-08-28 17:11:51.1350000 +00:00,2020-08-28 17:11:51.1350000 +00:00
209,2020-08-24,2020-08-28 17:11:51.1360000 +00:00,2020-08-28 17:11:51.1360000 +00:00
210,2020-08-23,2020-08-28 17:11:51.1360000 +00:00,2020-08-28 17:11:51.1360000 +00:00
211,2020-08-22,2020-08-28 17:11:51.1360000 +00:00,2020-08-28 17:11:51.1360000 +00:00
212,2020-08-21,2020-08-28 17:11:51.1360000 +00:00,2020-08-28 17:11:51.1360000 +00:00
213,2020-08-20,2020-08-28 17:11:51.1370000 +00:00,2020-08-28 17:11:51.1370000 +00:00
214,2020-08-19,2020-08-28 17:11:51.1370000 +00:00,2020-08-28 17:11:51.1370000 +00:00
215,2020-08-18,2020-08-28 17:11:51.1370000 +00:00,2020-08-28 17:11:51.1370000 +00:00
216,2020-08-31,2020-08-31 13:00:04.6920000 +00:00,2020-08-31 13:00:04.6920000 +00:00
217,2020-08-30,2020-08-31 13:00:04.6920000 +00:00,2020-08-31 13:00:04.6920000 +00:00
218,2020-08-29,2020-08-31 13:00:04.6930000 +00:00,2020-08-31 13:00:04.6930000 +00:00
219,2020-09-01,2020-09-01 13:00:08.2630000 +00:00,2020-09-01 13:00:08.2630000 +00:00
220,2020-09-02,2020-09-02 13:00:02.2490000 +00:00,2020-09-02 13:00:02.2490000 +00:00
221,2020-09-03,2020-09-03 13:00:02.7860000 +00:00,2020-09-03 13:00:02.7860000 +00:00
222,2020-09-04,2020-09-04 13:00:02.1360000 +00:00,2020-09-04 13:00:02.1360000 +00:00
223,2020-09-08,2020-09-08 13:00:06.9130000 +00:00,2020-09-08 13:00:06.9130000 +00:00
224,2020-09-07,2020-09-08 13:00:06.9140000 +00:00,2020-09-08 13:00:06.9140000 +00:00
225,2020-09-06,2020-09-08 13:00:06.9140000 +00:00,2020-09-08 13:00:06.9140000 +00:00
226,2020-09-05,2020-09-08 13:00:06.9140000 +00:00,2020-09-08 13:00:06.9140000 +00:00
227,2020-09-09,2020-09-09 13:00:03.7510000 +00:00,2020-09-09 13:00:03.7510000 +00:00
228,2020-09-10,2020-09-10 13:00:02.6280000 +00:00,2020-09-10 13:00:02.6280000 +00:00
229,2020-09-11,2020-09-11 13:00:08.8520000 +00:00,2020-09-11 13:00:08.8520000 +00:00
230,2020-09-14,2020-09-14 13:00:04.7020000 +00:00,2020-09-14 13:00:04.7020000 +00:00
231,2020-09-13,2020-09-14 13:00:04.7030000 +00:00,2020-09-14 13:00:04.7030000 +00:00
232,2020-09-12,2020-09-14 13:00:04.7030000 +00:00,2020-09-14 13:00:04.7030000 +00:00
233,2020-09-15,2020-09-15 13:00:07.9780000 +00:00,2020-09-15 13:00:07.9780000 +00:00
234,2020-09-16,2020-09-16 13:00:03.2640000 +00:00,2020-09-16 13:00:03.2640000 +00:00
235,2020-09-17,2020-09-17 12:00:02.3210000 +00:00,2020-09-17 12:00:02.3210000 +00:00
236,2020-10-02,2020-10-02 21:24:39.5990000 +00:00,2020-10-02 21:24:39.5990000 +00:00
237,2020-10-01,2020-10-02 21:24:39.6000000 +00:00,2020-10-02 21:24:39.6000000 +00:00
238,2020-09-30,2020-10-02 21:24:39.6000000 +00:00,2020-10-02 21:24:39.6000000 +00:00
239,2020-09-29,2020-10-02 21:24:39.6010000 +00:00,2020-10-02 21:24:39.6010000 +00:00
240,2020-09-28,2020-10-02 21:24:39.6010000 +00:00,2020-10-02 21:24:39.6010000 +00:00
241,2020-09-27,2020-10-02 21:24:39.6010000 +00:00,2020-10-02 21:24:39.6010000 +00:00
242,2020-09-26,2020-10-02 21:24:39.6020000 +00:00,2020-10-02 21:24:39.6020000 +00:00
243,2020-09-25,2020-10-02 21:24:39.6020000 +00:00,2020-10-02 21:24:39.6020000 +00:00
244,2020-09-24,2020-10-02 21:24:39.6020000 +00:00,2020-10-02 21:24:39.6020000 +00:00
245,2020-09-23,2020-10-02 21:24:39.6030000 +00:00,2020-10-02 21:24:39.6030000 +00:00
246,2020-09-22,2020-10-02 21:24:39.6030000 +00:00,2020-10-02 21:24:39.6030000 +00:00
247,2020-09-21,2020-10-02 21:24:39.6030000 +00:00,2020-10-02 21:24:39.6030000 +00:00
248,2020-09-20,2020-10-02 21:24:39.6030000 +00:00,2020-10-02 21:24:39.6030000 +00:00
249,2020-09-19,2020-10-02 21:24:39.6040000 +00:00,2020-10-02 21:24:39.6040000 +00:00
250,2020-09-18,2020-10-02 21:24:39.6040000 +00:00,2020-10-02 21:24:39.6040000 +00:00
251,2020-10-05,2020-10-05 12:00:08.0940000 +00:00,2020-10-05 12:00:08.0940000 +00:00
252,2020-10-04,2020-10-05 12:00:08.0950000 +00:00,2020-10-05 12:00:08.0950000 +00:00
253,2020-10-03,2020-10-05 12:00:08.0950000 +00:00,2020-10-05 12:00:08.0950000 +00:00
254,2020-10-06,2020-10-06 13:00:05.8450000 +00:00,2020-10-06 13:00:05.8450000 +00:00
255,2020-10-07,2020-10-07 13:00:06.0870000 +00:00,2020-10-07 13:00:06.0870000 +00:00
256,2020-10-08,2020-10-08 13:00:07.6360000 +00:00,2020-10-08 13:00:07.6360000 +00:00
257,2020-10-09,2020-10-09 13:00:07.6600000 +00:00,2020-10-09 13:00:07.6600000 +00:00
258,2020-10-12,2020-10-12 13:00:08.3870000 +00:00,2020-10-12 13:00:08.3870000 +00:00
259,2020-10-11,2020-10-12 13:00:08.3880000 +00:00,2020-10-12 13:00:08.3880000 +00:00
260,2020-10-10,2020-10-12 13:00:08.3880000 +00:00,2020-10-12 13:00:08.3880000 +00:00
261,2020-10-13,2020-10-13 13:00:05.6590000 +00:00,2020-10-13 13:00:05.6590000 +00:00
262,2020-10-14,2020-10-14 12:00:06.4220000 +00:00,2020-10-14 12:00:06.4220000 +00:00
